match_id,team,opponent,team_xg,opp_xg,xg_diff,shots,outcome
267502,Athletic Club,Barcelona,1.3852429,1.1438837,0.24135923,7,Draw
267502,Barcelona,Athletic Club,1.1438837,1.3852429,0.24135923,15,Draw
267576,Atlético Madrid,Barcelona,0.67989606,0.5706675,0.10922855,7,Loss
267576,Barcelona,Atlético Madrid,0.5706675,0.67989606,0.10922855,10,Win
267660,Barcelona,RC Deportivo La Coruña,1.3406855,1.5689477,0.22826219,15,Loss
267660,RC Deportivo La Coruña,Barcelona,1.5689477,1.3406855,0.22826219,14,Win
267675,Barcelona,Sevilla,1.1985435,1.4156663,0.2171228,8,Win
267675,Sevilla,Barcelona,1.4156663,1.1985435,0.2171228,14,Loss
303400,Barcelona,Valencia,1.1654316,1.2827697,0.11733806,14,Loss
303400,Valencia,Barcelona,1.2827697,1.1654316,0.11733806,8,Win
303430,Barcelona,Villarreal,0.6120869,0.5438857,0.068201184,9,Win
303430,Villarreal,Barcelona,0.5438857,0.6120869,0.068201184,11,Loss
303470,Barcelona,Real Madrid,1.0693448,0.865274,0.20407075,9,Loss
303470,Real Madrid,Barcelona,0.865274,1.0693448,0.20407075,13,Win
303473,Barcelona,Sevilla,1.4673042,1.725326,0.2580217,15,Win
303473,Sevilla,Barcelona,1.725326,1.4673042,0.2580217,16,Loss
303524,Atlético Madrid,Barcelona,1.2149637,0.9310638,0.2838999,16,Loss
303524,Barcelona,Atlético Madrid,0.9310638,1.2149637,0.2838999,13,Win
303596,Barcelona,Real Madrid,0.71992534,0.95429254,0.23436719,9,Draw
303596,Real Madrid,Barcelona,0.95429254,0.71992534,0.23436719,17,Draw
303674,Barcelona,Sevilla,0.50602734,0.5237577,0.017730355,10,Draw
303674,Sevilla,Barcelona,0.5237577,0.50602734,0.017730355,8,Draw
2275036,Everton LFC,Reading WFC,1.0133877,1.0821954,0.06880772,10,Win
2275036,Reading WFC,Everton LFC,1.0821954,1.0133877,0.06880772,7,Loss
2275083,Birmingham City WFC,Bristol City WFC,0.77421343,0.5383283,0.23588514,8,Loss
2275083,Bristol City WFC,Birmingham City WFC,0.5383283,0.77421343,0.23588514,4,Win
2275105,Chelsea FCW,Manchester City WFC,2.3367517,2.390647,0.053895235,15,Draw
2275105,Manchester City WFC,Chelsea FCW,2.390647,2.3367517,0.053895235,13,Draw
2275116,Liverpool WFC,Manchester City WFC,0.91881263,1.1855506,0.26673794,12,Loss
2275116,Manchester City WFC,Liverpool WFC,1.1855506,0.91881263,0.26673794,14,Win
2275120,Birmingham City WFC,Everton LFC,0.8300615,0.90693927,0.07687777,17,Loss
2275120,Everton LFC,Birmingham City WFC,0.90693927,0.8300615,0.07687777,10,Win
2275136,Manchester City WFC,Manchester United,0.3642645,0.6087221,0.2444576,10,Win
2275136,Manchester United,Manchester City WFC,0.6087221,0.3642645,0.2444576,8,Loss
2275144,Everton LFC,Manchester United,1.303814,1.0921146,0.21169949,9,Loss
2275144,Manchester United,Everton LFC,1.0921146,1.303814,0.21169949,7,Win
2275157,Manchester United,Reading WFC,0.94383943,0.93553644,0.008302987,7,Win
2275157,Reading WFC,Manchester United,0.93553644,0.94383943,0.008302987,11,Loss
3749117,Arsenal,Everton,1.0562247,0.9617855,0.09443921,11,Draw
3749117,Everton,Arsenal,0.9617855,1.0562247,0.09443921,12,Draw
3749448,Arsenal,Liverpool,2.006133,1.9407604,0.065372705,15,Win
3749448,Liverpool,Arsenal,1.9407604,2.006133,0.065372705,13,Loss
3749603,Arsenal,Fulham,1.1986215,1.4042848,0.20566332,9,Win
3749603,Fulham,Arsenal,1.4042848,1.1986215,0.20566332,17,Loss
3750201,Barcelona,Manchester United,1.1987444,1.1492295,0.04951489,11,Win
3750201,Manchester United,Barcelona,1.1492295,1.1987444,0.04951489,12,Loss
3750240,Fiorentina,Manchester United,0.91772974,0.9619478,0.044218063,14,Win
3750240,Manchester United,Fiorentina,0.9619478,0.91772974,0.044218063,13,Loss
3750248,Athletic Club,Barcelona,0.6160202,0.9101749,0.2941547,8,Win
3750248,Barcelona,Athletic Club,0.9101749,0.6160202,0.2941547,14,Loss
3752619,AS Monaco,FC Porto,0.68269366,0.4999199,0.18277377,9,Loss
3752619,FC Porto,AS Monaco,0.4999199,0.68269366,0.18277377,4,Win
3753976,Arsenal,Swansea City,1.3274736,1.1740502,0.15342343,17,Loss
3753976,Swansea City,Arsenal,1.1740502,1.3274736,0.15342343,11,Win
3753978,Southampton,Swansea City,1.4077682,1.3212739,0.08649433,16,Win
3753978,Swansea City,Southampton,1.3212739,1.4077682,0.08649433,11,Loss
3753981,Aston Villa,Crystal Palace,0.69713175,0.40050796,0.2966238,13,Win
3753981,Crystal Palace,Aston Villa,0.40050796,0.69713175,0.2966238,9,Loss
3753985,Liverpool,Stoke City,0.24526812,0.41507447,0.16980635,8,Win
3753985,Stoke City,Liverpool,0.41507447,0.24526812,0.16980635,6,Loss
3754002,Leicester City,Newcastle United,0.9309547,0.873261,0.05769372,10,Win
3754002,Newcastle United,Leicester City,0.873261,0.9309547,0.05769372,13,Loss
3754005,Newcastle United,Stoke City,0.40443307,0.2795712,0.124861866,5,Loss
3754005,Stoke City,Newcastle United,0.2795712,0.40443307,0.124861866,9,Win
3754007,Stoke City,West Bromwich Albion,0.65538675,0.9523901,0.29700333,13,Loss
3754007,West Bromwich Albion,Stoke City,0.9523901,0.65538675,0.29700333,16,Win
3754010,Newcastle United,Watford,1.3770292,1.1592038,0.21782541,16,Loss
3754010,Watford,Newcastle United,1.1592038,1.3770292,0.21782541,12,Win
3754011,Manchester United,Southampton,1.6235344,1.7736771,0.15014267,10,Win
3754011,Southampton,Manchester United,1.7736771,1.6235344,0.15014267,16,Loss
3754014,Manchester United,Stoke City,1.2773737,1.0752312,0.20214248,10,Loss
3754014,Stoke City,Manchester United,1.0752312,1.2773737,0.20214248,13,Win
3754015,Manchester City,Manchester United,0.3240815,0.3447739,0.020692378,6,Draw
3754015,Manchester United,Manchester City,0.3447739,0.3240815,0.020692378,6,Draw
