match_id,team,outcome,wide_progression_share,build_up_share
69182,Real Zaragoza,Loss,0.43119266055045874,0.5400728597449909
69191,China PR Women's,Loss,0.5366795366795367,0.2896039603960396
69191,Italy Women's,Win,0.4630541871921182,0.40537745604963804
69208,Germany Women's,Loss,0.4409448818897638,0.42893240682248895
69208,Sweden Women's,Win,0.4175257731958763,0.5280777537796977
69217,Barcelona,Draw,0.5282258064516129,0.41766109785202865
69217,Villarreal,Draw,0.44565217391304346,0.3856041131105398
69233,Barcelona,Win,0.4908424908424908,0.4620793571069814
69233,Racing Santander,Loss,0.436046511627907,0.31079717457114026
69235,Barcelona,Win,0.4660633484162896,0.31891348088531185
69235,Málaga,Loss,0.5355450236966824,0.4821664464993395
69237,Atlético Madrid,Win,0.4489795918367347,0.2302439024390244
69237,Barcelona,Loss,0.35877862595419846,0.4238952536824877
69240,Barcelona,Win,0.4494949494949495,0.33493479752916955
69240,Getafe,Loss,0.545045045045045,0.4426450742240216
69245,Barcelona,Draw,0.2612244897959184,0.4547738693467337
69245,Real Madrid,Draw,0.3870967741935484,0.3590462833099579
69271,Barcelona,Win,0.4689655172413793,0.48717948717948717
69271,Osasuna,Loss,0.5760869565217391,0.4933171324422843
69272,Barcelona,Draw,0.24382716049382716,0.5457373988799005
69272,Levante UD,Draw,0.46825396825396826,0.31347962382445144
69280,Barcelona,Win,0.40186915887850466,0.49222177901874753
69280,RC Deportivo La Coruña,Loss,0.5064102564102564,0.4812108559498956
69286,Barcelona,Win,0.41568627450980394,0.5015495867768595
69286,Racing Santander,Loss,0.48677248677248675,0.6097987751531059
69287,Barcelona,Loss,0.4342857142857143,0.5470967741935484
69287,Hércules,Win,0.4472049689440994,0.27015558698727016
69292,Atlético Madrid,Loss,0.4230769230769231,0.38197767145135564
69292,Barcelona,Win,0.4489795918367347,0.4909297052154195
69301,England Women's,Loss,0.5072992700729927,0.5262828535669587
69301,Sweden Women's,Win,0.504950495049505,0.483402489626556
69304,Barcelona,Win,0.3993055555555556,0.4542821679768308
69304,Villarreal,Loss,0.5243243243243243,0.5463414634146342
69319,Barcelona,Draw,0.3305785123966942,0.4435857805255023
69319,Real Betis,Draw,0.5024154589371981,0.36153846153846153
70287,Barcelona,Loss,0.3521739130434783,0.44152854511970535
70287,Real Sociedad,Win,0.4567901234567901,0.48869752421959095
70296,Atlético Madrid,Loss,0.4900662251655629,0.4538922155688623
70296,Barcelona,Win,0.43416370106761565,0.484393063583815
70300,Barcelona,Draw,0.25806451612903225,0.42023346303501946
70300,Real Madrid,Draw,0.4528301886792453,0.321978021978022
70304,Barcelona,Win,0.28174603174603174,0.4374735057227639
70304,RC Deportivo La Coruña,Loss,0.34054054054054056,0.3475887170154686
70309,Barcelona,Win,0.34901960784313724,0.5034722222222222
70309,Real Zaragoza,Loss,0.45348837209302323,0.5832012678288431
265830,Atlético Madrid,Draw,0.5136612021857924,0.2741273100616016
265830,Barcelona,Draw,0.3203125,0.4698681732580038
266160,Barcelona,Win,0.46691176470588236,0.4415862808145766
266160,Levante UD,Loss,0.4619883040935672,0.4225028702640643
266256,Atlético Madrid,Draw,0.5393939393939394,0.48342857142857143
266256,Barcelona,Draw,0.3769230769230769,0.5465049104563836
266467,Barcelona,Loss,0.31275720164609055,0.40949759119064005
266467,Celta Vigo,Win,0.42995169082125606,0.431740614334471
266603,Barcelona,Loss,0.259927797833935,0.5343183984747378
266603,Real Valladolid,Win,0.49079754601226994,0.3527080581241744
266874,Athletic Club,Loss,0.44607843137254904,0.5885129819040126
